Fecha;Año;Mes;Cuentas activas;Cuentas nuevas;Depósitos;Retiradas;Nº de depósitos;Depositos_real;GGR_Total;GGR_real;Cantidades_Total;GGR_Ap_Deportivas;GGR_Casino;GGR_Poker;GGR_Otros;Publicidad;Bonos;Afiliados;Patrocinio;Total Gastos;Gastos_real;IPC;Tasa_paro;PIB_var_anual;decreto;covid
2013-01-01;2013;Enero;289770;120555;39803786;20772330;1464463;50579815,74432938;20966725;26643020,522269525;490782627;9846343;2833831;6563720;1722831;6056129;2443546;1102163;266825;9868663;12540393,925916513;78,695;26,94;-2,9697;0;0
2013-02-01;2013;Febrero;287528;125069;37468821;19126090;1354706;47529963,720316626;20277768;25722762,33001827;456031108;10327299;2940668;5784063;1225738;5793865;3013126;1099009;219788;10125788;12844768,621879442;78,832;26,94;-2,9697;0;0
2013-03-01;2013;Marzo;305069;145874;41835683;22526521;1417211;52883594,78693954;20920774;26445504,304187894;498364413;10594017;3027864;6068938;1229955;6747101;3006975;909130;235332;10898538;13776609,488174545;79,109;26,94;-2,9697;0;0
2013-04-01;2013;Abril;290931;118272;39693634;21786590;1300446;49988834,4562685;19963714;25141633,398400605;462357636;10124959;2960787;5519123;1358845;6730506;2793074;1121471;222304;10867355;13685983,250425035;79,405;26,06;-1,2348;0;0
2013-05-01;2013;Mayo;280910;97914;39966205;22888871;1394652;50239726,71619464;19847994;24950024,512576837;459168566;10012855;2797436;5732312;1305391;4946858;2596839;987123;206306;8737126;10983049,867380673;79,551;26,06;-1,2348;0;0
2013-06-01;2013;Junio;239465;73477;36871382;23553819;1233424;46280713,95398461;15701377;19708264,193098947;430164856;6785325;2704634;5142141;1069277;4165578;2391619;913810;158020;7629026;9575902,797826005;79,669;26,06;-1,2348;0;0
2013-07-01;2013;Julio;189706;57152;34027834;19649890;1088662;42932996,03825481;16576495;20914601,68058745;416404052;7589155;2774755;5129313;1083272;3929530;2092994;868677;57202;6948404;8766817,229806455;79,258;25,65;-0,9055;0;0
2013-08-01;2013;Agosto;237728;88041;38609861;21139005;1201994;48563419,45059367;17984846;22621309,619641777;438996240;8938693;2557572;5250698;1237883;4164487;2710022;874314;34055;7782878;9789291,104850069;79,504;25,65;-0,9055;0;0
2013-09-01;2013;Septiembre;338720;149084;40947021;25292362;1367010;51599799,63455358;16976383;21392959,4858547;468137362;7824584;2646741;5376673;1128385;5483994;2810468;862961;79775;9237198;11640347,804171128;79,355;25,65;-0,9055;0;0
2013-10-01;2013;Octubre;303976;118735;42392327;25383246;1479949;53204557,092296496;19402482;24351115,740856953;501561916;9485068;3045163;5692788;1179463;8301738;3031278;959487;33303;12325805;15469521,072316073;79,678;25,73;-0,5423;0;0
2013-11-01;2013;Noviembre;298177;103948;40928716;22778378;1487182;51260853,66464607;19825616;24830439,356745657;471645785;10249536;2590199;5645664;1340217;4160912;2579989;1204885;24541;7970327;9982374,380041081;79,844;25,73;-0,5423;0;0
2013-12-01;2013;Diciembre;284497;93203;41135047;25876349;1495845;51473499,34305199;20196410;25272364,38716136;499132637;9382464;2845761;5865966;2102219;7115679;1008727;916117;26593;9067116;11345950,071951449;79,915;25,73;-0,5423;0;0
2014-01-01;2014;Enero;316668;115633;47460146;26579572;1638292;60188893,116217725;23277254;29520182,113326233;542753713;12297851;3017641;6355665;1606097;5945325;2067724;1113198;86239;9212486;11683262,314208897;78,852;25,93;0,7828;0;0
2014-02-01;2014;Febrero;326819;110632;44024094;24637767;1504032;55855380,75058997;20376206;25852224,111243624;501714529;10443425;2844268;5735812;1352701;6021848;2254895;1046108;46432;9369282;11887236,418077089;78,818;25,93;0,7828;0;0
2014-03-01;2014;Marzo;340938;114006;48479455;28196774;1618583;61371059,82732866;23991398;30371164,898599893;536708031;14259165;2973710;5604045;1154478;4707094;2627975;1238904;3959;8577933;10858967,769704029;78,994;25,93;0,7828;0;0
2014-04-01;2014;Abril;347128;107169;46190517;29267865;1495272;57957660,890623234;15396780;19319146,26648431;496166155;6372892;2955246;5064587;1004055;8104500;2116712;925181;27806;11174198;14020851,474961415;79,697;24,47;0,8109;0;0
2014-05-01;2014;Mayo;345191;101779;47806891;30397727;1610684;59972264,943862505;20906142;26226108,00978486;545616457;11179339;3094301;5374043;1258459;9032345;2136421;1011985;13858;12194608;15297758,26381484;79,715;24,47;0,8109;0;0
2014-06-01;2014;Junio;372573;141578;49140316;28132968;1480176;61627997,0402699;22348031;28027178,09799717;523327627;13475438;3097704;4974494;800395;6110291;3010897;1160600;15641;10297429;12914241,819983196;79,737;24,47;0,8109;0;0
2014-07-01;2014;Julio;366025;75560;44713794;29018674;1335016;56609054,65456341;18282277;23145931,60899895;499975807;8466024;2977092;5721341;1117820;5305719;2298847;947538;18952;8571056;10851223,619076557;78,987;23,67;1,711;0;0
2014-08-01;2014;Agosto;356346;77728;47651492;24531704;1449809;60232950,75336233;20561032;25989776,519364953;514760831;11214611;2485868;5846780;1013773;2599601;2364989;1044514;80546;6089649;7697503,539286076;79,112;23,67;1,711;0;0
2014-09-01;2014;Septiembre;486319;133482;49690037;28330523;1572313;62713814,95084118;22617619;28545705,703431647;547993625;12931437;3024393;5664787;997002;4734622;1950959;1010405;152000;7847986;9904946,171418473;79,233;23,67;1,711;0;0
2014-10-01;2014;Octubre;346860;102066;52778798;31073942;1652751;66303356,69958041;20600664;25879580,915052384;611651907;10395352;3435079;5726104;1044129;5208303;2758243;1014816;205860;9187221;11541444,938569382;79,602;23,7;2,2448;0;0
2014-11-01;2014;Noviembre;379058;105581;53546267;33190463;1726169;67313999,27087131;21590047;27141246,055790916;625143940;10816512;4006148;5498925;1268462;6981159;2520796;1022447;151337;10675739;13420668,284159051;79,547;23,7;2,2448;0;0
2014-12-01;2014;Diciembre;349009;98428;53437036;35301503;1740839;67570825,58830595;22886145;28939399,112325024;609488782;12030778;3614875;5405961;1834531;7944133;2001947;1061515;155546;11163141;14115727,779674519;79,083;23,7;2,2448;0;0
2015-01-01;2015;Enero;392919;128366;61310712;35883237;1917307;78793389,19446872;24319279;31253892,71577649;667495950;13138777;3645833;6172257;1362412;5074672;1534290;1321287;0;7930249;10191550,146506967;77,812;23,78;3,1917;0;0
2015-02-01;2015;Febrero;391401;114926;57888366;34175732;1795563;74242505,00179552;26011117;33359561,124506235;637427285;15594524;4143280;5187238;1086075;8297769;1689038;1043213;0;11030020;14146129,379777357;77,972;23,78;3,1917;0;0
2015-03-01;2015;Marzo;402558;125134;61661658;37516393;1910466;78579913,34267874;26603622;33902920,86147573;689634173;15585936;4460083;5452113;1105490;9024967;2095509;1313065;0;12433540;15844959,857270295;78,47;23,78;3,1917;0;0
2015-04-01;2015;Abril;391627;109351;60181240;38267242;1873561;75995049,94254397;20224595;25539006,95786137;700750885;9350215;4522123;5100234;1252023;6651898;1821038;902295;21126;9396357;11865435,466151457;79,191;22,37;3,9311;0;0
2015-05-01;2015;Mayo;393736;110438;63117936;43370510;1900985;79324782,26444972;19228858;24166268,270306274;696330510;8729605;4635565;4732826;1130862;7988967;1836601;739723;18084;10583375;13300877,226055373;79,569;22,37;3,9311;0;0
2015-06-01;2015;Junio;344641;91811;57438859;40776342;1657330;71994759,46955454;23244284;29134747,186082076;660066650;11993733;4292615;4548542;2409394;4445996;2498216;1093954;14597;8052763;10093458,42420596;79,782;22,37;3,9311;0;0
2015-07-01;2015;Julio;270257;63140;52980630;32616321;1531209;67029301,24871902;21904049;27712261,99061247;619107539;10417943;4063227;4680994;2741885;4659178;2710871;821494;14617;8206161;10382157,361369416;79,041;21,18;4,1494;0;0
2015-08-01;2015;Agosto;369430;103318;65346364;34565226;1895921;82948963,55627769;30203467;38339490,21947473;687859200;18821191;3818284;4897764;2666228;6687688;4814720;1221722;8927;12733056;16163007,908198886;78,779;21,18;4,1494;0;0
2015-09-01;2015;Septiembre;406554;121520;70657404;42016646;2069908;89968172,55780788;31410810;39995428,84791688;774639045;18541843;4259588;4838329;3771050;6638859;4638282;1379390;6507;12663038;16123864,215137007;78,536;21,18;4,1494;0;0
2015-10-01;2015;Octubre;517553;150725;73628197;42783181;2255313;93154261,82011412;30581946;38692222,8267058;810746152;16589179;4444377;5117993;4430397;5976564;4071344;1252711;55951;11356569;14368310,58085249;79,039;20,9;4,0496;0;0
2015-11-01;2015;Noviembre;522224;151321;72643482;46782024;2251942;91572416,14037742;26857321;33855615,22268023;817843816;13094997;4556180;4985757;4220387;6576354;4117813;1061834;62705;11818706;14898342,34643069;79,329;20,9;4,0496;0;0
2015-12-01;2015;Diciembre;515209;136176;76445326;48594658;2156753;96647566,91151372;36528702;46182158,615371004;800279697;21166255;5077539;4454732;5830176;10719196;5565622;1764410;123664;18172891;22975449,132078335;79,097;20,9;4,0496;0;0
2016-01-01;2016;Enero;522200;142654;82454916;48762040;12324442;106272768,98489459;33568505;43265073,207196996;878062698;18804757;5062474;5054610;4646664;7362186;5133251;1865172;61150;14421759;18587615,352889623;77,588;21,0;3,6539;0;0
2016-02-01;2016;Febrero;553506;150970;81896730;48695376;12209114;105927425,82197274;32346251;41837508,083917536;859879365;18044768;4733294;4888512;4679677;12388867;6416923;1334294;341952;20482036;26492014,38290607;77,314;21,0;3,6539;0;0
2016-03-01;2016;Marzo;575666;160933;89019096;56286629;13070878;114405726,770338;35899081;46136847,44891402;923758576;20209533;5767721;4846514;5075313;12799042;7212365;1684890;136058;21832356;28058547,74450585;77,81;21,0;3,6539;0;0
2016-04-01;2016;Abril;634221;199441;93238052;62222255;12668354;118994387,08442345;29242114;37320035,734796755;937387254;13346017;5558891;4660164;5677042;8893032;8823299;1439266;283978;19439575;24809616,489056215;78,355;20,0;3,3083;0;0
2016-05-01;2016;Mayo;618308;171081;88738999;62204598;12868796;112637242,80618915;32336616;41045169,643197134;911771940;16102617;5636560;4886079;5711360;11386479;7284850;1489803;286068;20447200;25953822,525164057;78,783;20,0;3,3083;0;0
2016-06-01;2016;Junio;560789;148622;86625823;55349347;12035705;109447898,87299743;36535852;46161434,27502906;880218442;21761383;5176417;4204515;5393537;9475449;8582443;1490328;268496;19816716;25037544,852681056;79,148;20,0;3,3083;0;0
2016-07-01;2016;Julio;485092;112237;79630139;54741135;1930922;101346712,56936313;31796548;40468039,50516724;818095145;15982545;4955009;4437389;6421605;4506342;7740285;1618443;155996;14021067;17844864,582803033;78,572;18,91;3,0707;0;0
2016-08-01;2016;Agosto;524620;145621;87822153;53744382;2136890;111629342,97662476;33212843;42216316,90668971;834503701;17735057;4534384;4625328;6318074;7968653;9262685;1488576;208927;18928842;24060150,242141522;78,673;18,91;3,0707;0;0
2016-09-01;2016;Septiembre;613131;192261;95898895;59540634;2470220;121889364,10895178;37369345;47497165,62654905;926331862;21297375;5152811;4728399;6190760;7036632;10834556;1728740;280225;19880152;25268060,55136825;78,677;18,91;3,0707;0;0
2016-10-01;2016;Octubre;592574;148395;100568680;60723222;2775987;126380667,53795116;41215639;51794057,253443256;961913124;23932112;5614568;4960201;6708758;7545134;6341951;1500163;246730;15633979;19646600,733889617;79,576;18,63;2,1758;0;0
2016-11-01;2016;Noviembre;609233;173370;99476492;60742951;2811520;124557362,51627767;43140484;54017434,6388861;946865462;25453233;6079445;4992979;6614827;12621933;5917237;2429828;668923;21637921;27093460,132224783;79,864;18,63;2,1758;0;0
2016-12-01;2016;Diciembre;611929;158153;100204195;61993787;2922538;124728266,8226742;39492640;49158106,99793373;1004375054;19333329;6296841;5279318;8583152;11193603;6354319;1473447;645783;19667151;24480508,601160098;80,338;18,63;2,1758;0;0
2017-01-01;2017;Enero;627991;159956;109166219;59793437;3085942;136635399,76970062;51206666;64091651,647141285;1045301687;31713804;6717508;5389032;7386322;9171264;5292116;2121618;594527;17179525;21502359,317112245;79,896;18,75;2,5263;0;0
2017-02-01;2017;Febrero;632014;160355;103675826;64353443;2894899;130232923,82675108;35242132;44269585,97125917;1012598531;17348441;5764497;4752286;7376908;9397660;6967566;1447708;594527;18407461;23122627,122902222;79,608;18,75;2,5263;0;0
2017-03-01;2017;Marzo;679419;180095;115916285;76770347;3333571;145638110,61413208;40537804;50932008,242034376;1140739874;20236645;7423061;5020107;7857991;10038620;7317100;1853068;1365958;20574746;25850268,871243343;79,592;18,75;2,5263;0;0
2017-04-01;2017;Abril;713913;189168;121159622;78767050;3484372;150778562,89511675;42723076;53167250,73423267;1134974920;21729441;7045779;5034026;8913830;11630041;7847304;1549462;607244;21634051;26922757,479217485;80,356;17,22;3,3311;0;0
2017-05-01;2017;Mayo;660780;150561;114960734;75668048;3172297;143149790,8053992;42844883;53350703,54136574;1109694427;23490511;6424331;4760371;8169670;8601473;6915301;1758227;602930;17877931;22261706,18120237;80,308;17,22;3,3311;0;0
2017-06-01;2017;Junio;563493;123064;104685832;73992050;2716865;130298634,60413475;33732111;41985127,515776105;1030903109;13314658;6701718;4635608;9080127;4397016;6555910;1316595;599058;12868579;16017050,645358026;80,343;17,22;3,3311;0;0
2017-07-01;2017;Julio;486371;114992;102312874;63196297;2694321;128230904,39665113;41880056;52489166,29067028;1003178053;19784774;6911048;4840800;10343434;3886622;6608877;1419427;574806;12489732;15653647,164987218;79,788;16,38;2,9202;0;0
2017-08-01;2017;Agosto;663370;196273;116757387;67325465;4840464;146043487,56050885;47458560;59362527,67458441;1096017611;25608480;6987468;4833272;10029340;6844214;7806243;1581082;666079;16897617;21136023,8658111;79,947;16,38;2,9202;0;0
2017-09-01;2017;Septiembre;713914;193508;127697509;76956311;6802183;159450476,9872387;50631406;63221294,60829608;1172298329;29429078;7584305;4990513;8627510;8184452;8350409;1952983;667521;19155366;23918495,11774842;80,086;16,38;2,9202;0;0
2017-10-01;2017;Octubre;692029;179955;129655713;73983907;6638628;160415357,87194556;57212912;70786157,74822146;1196781790;35256453;7763008;5030282;9163169;9132036;7725551;1768325;1237131;19863043;24575370,244355086;80,825;16,55;3,1004;0;0
2017-11-01;2017;Noviembre;677387;162514;122968880;72567110;6133871;151450698,3274626;50900557;62690047,294135034;1137562968;28572864;7278654;5086640;9962399;10208016;7363122;2276055;983006;20830199;25654850,112077247;81,194;16,55;3,1004;0;0
2017-12-01;2017;Diciembre;682488;158936;128737655;70151649;6804582;158483405,3501742;62978001;77529515,82523914;1218402260;36870626;8257056;5322758;12527561;11938373;7877390;3444157;930250;24190170;29779480,740111534;81,231;16,55;3,1004;0;0
2018-01-01;2018;Enero;757508;203529;136851536;76392300;0;170308675,25356233;59709700;74307385,97473711;1298821677;33274370;8799346;6443921;11192063;13150893;7077777;2228049;1309499;23766218;29576526,662933234;80,355;16,74;2,4434;0;0
2018-02-01;2018;Febrero;788650;208001;133594502;81273961;0;166032216,04961288;48728166;60559718,131315015;1291835838;22846958;8477336;7313716;10090156;13713311;8275767;2017295;831734;24838108;30868980,773771796;80,463;16,74;2,4434;0;0
2018-03-01;2018;Marzo;842834;238288;151113776;97963146;0;187583822,83572084;51982503;64528045,631718755;1506558660;22155955;9423446;7714654;12688448;14396598;10181273;2051585;859497;27488952;34123180,81382358;80,558;16,74;2,4434;0;0
2018-04-01;2018;Abril;852854;221281;148548142;92234482;0;182887006,30355558;55264525;68039649,61095242;1378448547;28917129;8850124;6609063;10888209;11999966;9568040;2733363;1174162;25475530;31364535,112774547;81,224;15,28;2,3469;0;0
2018-05-01;2018;Mayo;843058;193221;143270462;98422134;0;174813878,1785348;45375678;55365901,21528625;1387139044;19105256;8161040;6537776;11571606;13389405;9649322;2296468;1312344;26647539;32514445,55615208;81,956;15,28;2,3469;0;0
2018-06-01;2018;Junio;883174;239819;154229486;89522855;0;187695613,97103566;66516248;80949553,36497505;1397773038;38283771;8912323;6301409;13018745;15624767;10417055;2665546;956710;29664078;36100861,628331505;82,17;15,28;2,3469;0;0
2018-07-01;2018;Julio;809156;189562;143038060;91893911;0;175332565,18061802;59526161;72965716,28197742;1368738945;30746381;9008260;6489698;13281822;10509257;10767611;2690744;1015063;24982675;30623153,675488163;81,581;14,55;1,8394;0;0
2018-08-01;2018;Agosto;767807;178595;144091897;84026475;0;176373547,37628067;59212051;72477631,98159051;1362185548;31339502;8561962;6323334;12987253;9344363;8537246;2272918;1308024;21462552;26270918,148769233;81,697;14,55;1,8394;0;0
2018-09-01;2018;Septiembre;859059;214855;158231094;95131237;0;193207436,16982305;63288291;77277911,27880141;1499658278;34143307;9082228;7215396;12847360;16966165;10032143;2715419;1419360;31133087;38014929,72880569;81,897;14,55;1,8394;0;0
2018-10-01;2018;Octubre;900380;249123;160233607;97227976;0;193860680,66881216;62559056;75687874,75500278;1638020637;33627051;8859311;6830780;13241914;16057921;11501429;3000610;1129728;31689688;38340174,70418855;82,654;14,45;2,5077;0;0
2018-11-01;2018;Noviembre;846468;210941;154008862;96550267;0;186534963,60355124;63701175;77154627,37545875;1637374105;33776719;9245771;7003517;13675168;16548303;9907527;2919222;986581;30361633;36773897,50856922;82,563;14,45;2,5077;0;0
2018-12-01;2018;Diciembre;828006;212089;157643854;97009402;0;191797177,37520227;63195710;76886973,34322874;1566662861;31757479;10126354;7039227;14272650;18622459;10404369;4302430;2077221;35406479;43077243,80421691;82,193;14,45;2,5077;0;0
2019-01-01;2019;Enero;911864;270950;162142614;104946687;0;199825754,84952307;58510878;72109238,12575486;1583471960;27150002;9436463;7690620;14233793;14979162;8711194;2747835;1812459;28250650;34816309,6793276;81,142;14,7;2,7714;0;0
2019-02-01;2019;Febrero;900358;226131;158060399;93737538;0;194320628,2271945;70863311;87119880,7474797;1456617873;41978232;9174765;6799080;12911234;18451202;10066661;3890800;1233095;33641757;41359425,86673223;81,34;14,7;2,7714;0;0
2019-03-01;2019;Marzo;916318;238142;166660270;102317711;0;204150460,58111617;64434700;78929271,3998726;1595119030;31790826;10509418;6907418;15227038;14578478;10252273;3538612;1866081;30235444;37036900,387084134;81,636;14,7;2,7714;0;0
2019-04-01;2019;Abril;904987;229968;161091824;100290346;0;195359904,9224463;64209675;77868607,4291466;1574891222;33709623;9462618;6314802;14722632;15632409;9933576;2972672;1425245;29963902;36337940,0671849;82,459;14,02;1,8931;0;0
2019-05-01;2019;Mayo;923973;240478;161315453;106195204;0;195252245,85143852;57970262;70165775,4269599;1571681984;27028372;9356464;6552805;15032621;14508784;10191925;3069338;1311102;29081150;35199106,74300101;82,619;14,02;1,8931;0;0
